iter	Passed	Remaining
0	135	134872
1	135	67793
2	136	45335
3	137	34128
4	137	27376
5	138	22862
6	138	19650
7	139	17252
8	139	15393
9	140	13891
10	140	12667
11	141	11642
12	141	10772
13	142	10027
14	142	9385
15	143	8814
16	143	8316
17	144	7871
18	144	7478
19	145	7123
20	145	6797
21	146	6505
22	146	6237
23	147	5995
24	147	5768
25	148	5558
26	148	5364
27	149	5183
28	149	5015
29	150	4859
30	150	4715
31	151	4576
32	151	4448
33	152	4331
34	152	4217
35	153	4113
36	154	4014
37	154	3918
38	155	3829
39	155	3741
40	156	3658
41	156	3580
42	157	3505
43	157	3432
44	158	3363
45	159	3298
46	159	3234
47	160	3175
48	160	3118
49	161	3065
50	162	3015
51	162	2963
52	163	2913
53	163	2865
54	164	2818
55	164	2776
56	165	2734
57	165	2692
58	166	2656
59	167	2620
60	167	2584
61	168	2548
62	169	2513
63	169	2479
64	170	2448
65	170	2416
66	171	2384
67	171	2350
68	172	2321
69	172	2292
70	173	2265
71	173	2238
72	174	2211
73	174	2186
74	175	2161
75	175	2137
76	176	2113
77	176	2090
78	177	2069
79	178	2049
80	178	2027
81	179	2007
82	179	1987
83	180	1967
84	180	1946
85	181	1928
86	181	1907
87	182	1889
88	182	1872
89	183	1854
90	183	1837
91	184	1820
92	185	1805
93	185	1790
94	186	1775
95	186	1759
96	187	1745
97	188	1730
98	188	1716
99	189	1702
100	189	1689
101	190	1674
102	190	1660
103	191	1647
104	191	1634
105	192	1623
106	193	1611
107	193	1598
108	194	1586
109	194	1575
110	195	1563
111	195	1552
112	196	1541
113	196	1530
114	197	1519
115	198	1509
116	198	1498
117	199	1488
118	199	1477
119	200	1467
120	200	1458
121	201	1449
122	201	1438
123	202	1429
124	202	1419
125	203	1411
126	204	1404
127	204	1394
128	205	1385
129	205	1377
130	206	1368
131	206	1360
132	207	1352
133	207	1344
134	208	1336
135	209	1328
136	209	1321
137	210	1313
138	210	1306
139	211	1298
140	211	1290
141	212	1283
142	212	1276
143	213	1269
144	214	1263
145	214	1256
146	215	1249
147	215	1242
148	216	1236
149	217	1229
150	217	1223
151	218	1216
152	218	1210
153	219	1204
154	219	1198
155	220	1192
156	221	1186
157	221	1180
158	222	1174
159	222	1169
160	223	1163
161	223	1157
162	224	1152
163	225	1147
164	225	1142
165	226	1137
166	227	1132
167	227	1127
168	228	1122
169	228	1117
170	229	1112
171	230	1107
172	230	1102
173	231	1097
174	231	1092
175	232	1087
176	232	1082
177	233	1077
178	233	1073
179	234	1068
180	234	1062
181	235	1057
182	235	1052
183	236	1047
184	236	1043
185	237	1038
186	237	1034
187	238	1030
188	238	1025
189	239	1020
190	240	1016
191	240	1012
192	241	1008
193	241	1003
194	242	999
195	242	995
196	243	991
197	243	987
198	244	983
199	244	979
200	245	975
201	245	971
202	246	967
203	247	964
204	247	961
205	248	958
206	249	954
207	249	950
208	250	946
209	250	942
210	251	939
211	251	936
212	252	933
213	253	929
214	253	926
215	254	922
216	254	919
217	255	915
218	255	912
219	256	908
220	256	905
221	257	901
222	257	898
223	258	895
224	259	892
225	259	889
226	260	886
227	260	883
228	261	880
229	262	877
230	262	874
231	263	871
232	263	867
233	264	864
234	264	862
235	265	859
236	265	856
237	266	853
238	267	850
239	267	847
240	268	844
241	268	841
242	269	838
243	269	835
244	270	833
245	270	830
246	271	827
247	272	825
248	272	821
249	273	819
250	273	816
251	274	813
252	274	811
253	275	808
254	275	806
255	276	803
256	277	801
257	277	798
258	278	796
259	278	793
260	279	791
261	279	788
262	280	786
263	281	783
264	281	781
265	282	778
266	282	775
267	283	773
268	283	770
269	284	768
270	284	766
271	285	763
272	285	761
273	286	759
274	287	757
275	287	754
276	288	752
277	288	750
278	289	748
279	290	746
280	291	744
281	291	743
282	292	741
283	293	739
284	293	737
285	294	735
286	295	733
287	295	731
288	296	729
289	297	727
290	297	724
291	298	722
292	298	720
293	299	718
294	299	716
295	300	714
296	300	712
297	301	710
298	302	708
299	302	706
300	303	704
301	303	702
302	304	700
303	304	698
304	305	696
305	306	694
306	306	692
307	307	690
308	308	689
309	308	687
310	309	685
311	309	683
312	310	681
313	311	679
314	311	677
315	312	675
316	312	674
317	313	672
318	314	670
319	314	668
320	315	666
321	315	665
322	316	663
323	317	661
324	317	659
325	318	657
326	318	656
327	319	654
328	319	652
329	320	650
330	322	651
331	323	650
332	324	649
333	324	647
334	325	646
335	326	644
336	326	642
337	327	641
338	327	639
339	328	637
340	329	636
341	329	634
342	330	632
343	330	630
344	331	629
345	332	627
346	332	626
347	333	624
348	333	622
349	334	621
350	334	619
351	335	617
352	336	616
353	337	615
354	337	613
355	338	611
356	338	610
357	339	608
358	340	607
359	340	605
360	341	603
361	341	602
362	342	600
363	343	599
364	343	597
365	344	596
366	344	594
367	345	593
368	345	591
369	346	589
370	346	588
371	347	586
372	348	585
373	348	583
374	349	582
375	349	580
376	350	579
377	351	577
378	352	576
379	352	575
380	353	574
381	353	572
382	354	571
383	355	569
384	355	568
385	356	566
386	356	565
387	357	564
388	358	562
389	358	561
390	359	559
391	360	558
392	360	557
393	361	555
394	361	554
395	362	552
396	362	551
397	363	550
398	364	548
399	364	547
400	365	545
401	366	544
402	366	543
403	367	542
404	368	540
405	368	539
406	369	538
407	370	537
408	370	535
409	371	534
410	371	532
411	372	531
412	372	529
413	373	528
414	374	527
415	374	526
416	375	525
417	376	523
418	376	522
419	377	521
420	378	519
421	378	518
422	379	517
423	379	516
424	380	515
425	381	513
426	382	513
427	383	512
428	383	510
429	384	509
430	384	508
431	385	506
432	386	505
433	386	504
434	387	502
435	387	501
436	388	500
437	388	499
438	389	497
439	390	496
440	390	495
441	391	493
442	391	492
443	392	491
444	393	490
445	393	489
446	394	487
447	394	486
448	395	485
449	395	483
450	396	482
451	397	481
452	398	480
453	398	479
454	399	478
455	399	477
456	400	475
457	401	474
458	401	473
459	402	472
460	402	470
461	403	469
462	403	468
463	404	467
464	404	465
465	405	464
466	406	463
467	406	462
468	407	461
469	407	459
470	408	458
471	408	457
472	409	456
473	410	455
474	410	454
475	411	453
476	412	451
477	412	450
478	413	449
479	414	448
480	414	447
481	415	446
482	415	445
483	416	443
484	416	442
485	417	441
486	418	440
487	418	439
488	419	438
489	420	437
490	420	436
491	421	435
492	421	433
493	422	432
494	423	431
495	423	430
496	424	429
497	424	428
498	425	427
499	426	426
500	427	425
501	428	424
502	428	423
503	429	422
504	430	421
505	430	420
506	431	419
507	431	418
508	432	417
509	432	415
510	433	414
511	434	413
512	434	412
513	435	411
514	436	410
515	436	409
516	437	408
517	438	407
518	438	406
519	439	405
520	439	404
521	440	403
522	441	402
523	442	401
524	442	400
525	443	399
526	443	398
527	444	397
528	445	396
529	445	395
530	446	394
531	446	393
532	447	392
533	448	391
534	448	390
535	449	389
536	450	388
537	450	387
538	451	386
539	452	385
540	452	384
541	453	382
542	453	381
543	454	380
544	454	379
545	455	378
546	456	377
547	456	376
548	457	375
549	458	375
550	459	374
551	459	373
552	460	372
553	460	371
554	461	369
555	461	368
556	462	367
557	463	366
558	463	365
559	464	364
560	464	363
561	465	362
562	466	361
563	466	360
564	467	359
565	467	358
566	468	357
567	469	356
568	469	355
569	470	354
570	470	353
571	471	352
572	472	352
573	473	351
574	474	350
575	474	349
576	475	348
577	476	347
578	476	346
579	477	345
580	477	344
581	478	343
582	479	342
583	479	341
584	480	340
585	480	339
586	481	338
587	481	337
588	482	336
589	483	335
590	483	334
591	484	333
592	484	332
593	485	331
594	486	330
595	487	330
596	487	329
597	488	328
598	489	327
599	489	326
600	490	325
601	490	324
602	491	323
603	491	322
604	492	321
605	493	320
606	493	319
607	494	318
608	495	317
609	495	316
610	496	316
611	496	315
612	497	314
613	498	313
614	498	312
615	499	311
616	500	310
617	500	309
618	501	308
619	502	308
620	503	307
621	504	306
622	504	305
623	505	304
624	506	303
625	506	302
626	507	301
627	508	301
628	508	300
629	509	299
630	509	298
631	510	297
632	511	296
633	511	295
634	512	294
635	512	293
636	513	292
637	514	291
638	514	290
639	515	289
640	515	288
641	516	288
642	517	287
643	518	286
644	518	285
645	519	284
646	520	283
647	520	282
648	521	281
649	521	280
650	522	280
651	523	279
652	523	278
653	524	277
654	525	276
655	525	275
656	526	274
657	527	273
658	527	273
659	528	272
660	528	271
661	529	270
662	530	269
663	530	268
664	531	267
665	532	266
666	532	266
667	533	265
668	534	264
669	535	263
670	535	262
671	536	261
672	536	260
673	537	260
674	538	259
675	538	258
676	539	257
677	539	256
678	540	255
679	541	254
680	541	253
681	542	252
682	542	252
683	543	251
684	544	250
685	544	249
686	545	248
687	546	247
688	546	246
689	547	245
690	548	245
691	549	244
692	549	243
693	550	242
694	551	241
695	551	241
696	552	240
697	553	239
698	553	238
699	554	237
700	555	236
701	555	236
702	556	235
703	557	234
704	558	233
705	558	232
706	559	231
707	560	230
708	560	230
709	561	229
710	561	228
711	562	227
712	563	226
713	563	225
714	564	225
715	565	224
716	566	223
717	566	222
718	567	221
719	568	221
720	569	220
721	569	219
722	570	218
723	570	217
724	571	216
725	572	215
726	572	215
727	573	214
728	573	213
729	574	212
730	574	211
731	575	210
732	576	209
733	576	208
734	577	208
735	578	207
736	578	206
737	579	205
738	580	204
739	580	203
740	581	203
741	581	202
742	582	201
743	582	200
744	583	199
745	584	198
746	584	198
747	585	197
748	585	196
749	586	195
750	587	194
751	587	193
752	588	192
753	588	192
754	589	191
755	590	190
756	590	189
757	591	188
758	591	187
